settlement_id,merchant_id,payment_id,account_id,settlement_amount,settlement_status,initiated_at,completed_at,bank_reference
SET0000001,MER000015,PAY0000052,ACC000015,13534,Initiated,2024-10-08 07:14:00,,
SET0000002,MER000070,PAY0000179,ACC000070,28757,Initiated,2025-08-27 13:02:00,,
SET0000003,MER000030,PAY0001035,ACC000030,92024,Completed,2025-09-08 00:35:00,2025-09-09 19:35:00,BNKREF10000002
SET0000004,MER000070,PAY0000860,ACC000070,99558,Completed,2024-08-13 14:37:00,2024-08-13 16:37:00,BNKREF10000003
SET0000005,MER000021,PAY0001430,ACC000021,13496,Completed,2025-03-08 10:17:00,2025-03-09 09:17:00,BNKREF10000004
SET0000006,MER000012,PAY0000779,ACC000012,5795,Completed,2024-04-09 11:54:00,2024-04-10 05:54:00,BNKREF10000005
SET0000007,MER000059,PAY0001099,ACC000059,81170,Completed,2024-05-07 12:05:00,2024-05-09 06:05:00,BNKREF10000006
SET0000008,MER000047,PAY0001183,ACC000047,29971,Initiated,2024-07-15 22:04:00,,
SET0000009,MER000038,PAY0000164,ACC000038,47919,Completed,2024-08-26 03:24:00,2024-08-27 21:24:00,BNKREF10000008
SET0000010,MER000021,PAY0000759,ACC000021,85039,Completed,2024-12-29 06:42:00,2024-12-31 03:42:00,BNKREF10000009
SET0000011,MER000010,PAY0001248,ACC000010,60689,Completed,2025-10-12 05:34:00,2025-10-12 17:34:00,BNKREF10000010
SET0000012,MER000049,PAY0000553,ACC000049,7431,Completed,2025-10-17 22:35:00,2025-10-18 20:35:00,BNKREF10000011
SET0000013,MER000030,PAY0000066,ACC000030,74441,Initiated,2024-11-19 12:17:00,,
SET0000014,MER000041,PAY0000436,ACC000041,60242,Completed,2025-11-02 15:25:00,2025-11-04 10:25:00,BNKREF10000013
SET0000015,MER000019,PAY0000543,ACC000019,98012,Completed,2024-05-22 07:47:00,2024-05-23 01:47:00,BNKREF10000014
SET0000016,MER000055,PAY0001196,ACC000055,66884,Failed,2025-02-12 11:14:00,2025-02-12 21:14:00,BNKREF10000015
SET0000017,MER000064,PAY0000187,ACC000064,55433,Completed,2024-02-18 03:09:00,2024-02-20 00:09:00,BNKREF10000016
SET0000018,MER000009,PAY0000789,ACC000009,1604,Completed,2025-01-25 19:29:00,2025-01-27 08:29:00,BNKREF10000017
SET0000019,MER000015,PAY0001397,ACC000015,38569,Completed,2025-07-03 08:49:00,2025-07-03 17:49:00,BNKREF10000018
SET0000020,MER000056,PAY0000324,ACC000056,65712,Completed,2025-04-09 00:46:00,2025-04-09 18:46:00,BNKREF10000019
SET0000021,MER000023,PAY0001040,ACC000023,79918,Completed,2024-04-18 20:19:00,2024-04-20 06:19:00,BNKREF10000020
SET0000022,MER000026,PAY0000314,ACC000026,174,Failed,2025-01-17 05:34:00,2025-01-18 16:34:00,BNKREF10000021
SET0000023,MER000042,PAY0001001,ACC000042,31485,Completed,2024-01-20 03:59:00,2024-01-21 00:59:00,BNKREF10000022
SET0000024,MER000008,PAY0000494,ACC000008,99793,Completed,2025-08-03 02:05:00,2025-08-03 08:05:00,BNKREF10000023
SET0000025,MER000069,PAY0000258,ACC000069,34841,Completed,2024-05-11 21:30:00,2024-05-12 09:30:00,BNKREF10000024
SET0000026,MER000068,PAY0001243,ACC000068,90522,Completed,2025-03-09 06:59:00,2025-03-11 06:59:00,BNKREF10000025
SET0000027,MER000026,PAY0001461,ACC000026,67939,Completed,2024-11-15 12:42:00,2024-11-16 18:42:00,BNKREF10000026
SET0000028,MER000058,PAY0000248,ACC000058,72703,Completed,2024-09-10 07:04:00,2024-09-11 22:04:00,BNKREF10000027
SET0000029,MER000030,PAY0001206,ACC000030,30107,Completed,2024-08-13 00:04:00,2024-08-13 05:04:00,BNKREF10000028
SET0000030,MER000009,PAY0000065,ACC000009,63724,Completed,2024-12-04 02:32:00,2024-12-05 22:32:00,BNKREF10000029
SET0000031,MER000028,PAY0001105,ACC000028,62053,Completed,2024-05-15 23:59:00,2024-05-17 13:59:00,BNKREF10000030
SET0000032,MER000032,PAY0000969,ACC000032,56598,Initiated,2025-02-20 06:06:00,,
SET0000033,MER000046,PAY0000868,ACC000046,85749,Completed,2025-02-24 14:55:00,2025-02-26 11:55:00,BNKREF10000032
SET0000034,MER000013,PAY0000125,ACC000013,32691,Completed,2025-02-16 23:21:00,2025-02-17 07:21:00,BNKREF10000033
SET0000035,MER000025,PAY0000390,ACC000025,60737,Completed,2025-07-03 14:08:00,2025-07-04 09:08:00,BNKREF10000034
SET0000036,MER000032,PAY0000155,ACC000032,70955,Initiated,2025-03-29 17:06:00,,
SET0000037,MER000002,PAY0000192,ACC000002,52665,Completed,2024-08-30 05:26:00,2024-08-30 20:26:00,BNKREF10000036
SET0000038,MER000008,PAY0000338,ACC000008,37488,Completed,2025-01-23 00:24:00,2025-01-24 07:24:00,BNKREF10000037
SET0000039,MER000055,PAY0001427,ACC000055,38990,Completed,2025-07-23 21:45:00,2025-07-24 11:45:00,BNKREF10000038
SET0000040,MER000028,PAY0000120,ACC000028,41204,Initiated,2025-08-16 23:34:00,,
SET0000041,MER000008,PAY0000103,ACC000008,20735,Completed,2025-08-21 15:32:00,2025-08-23 02:32:00,BNKREF10000040
SET0000042,MER000008,PAY0001041,ACC000008,30928,Completed,2024-03-23 05:04:00,2024-03-25 02:04:00,BNKREF10000041
SET0000043,MER000052,PAY0000246,ACC000052,10845,Completed,2025-08-06 07:37:00,2025-08-08 00:37:00,BNKREF10000042
SET0000044,MER000054,PAY0001347,ACC000054,26872,Completed,2025-08-20 18:33:00,2025-08-21 12:33:00,BNKREF10000043
SET0000045,MER000041,PAY0000489,ACC000041,60029,Completed,2024-09-28 12:08:00,2024-09-29 09:08:00,BNKREF10000044
SET0000046,MER000041,PAY0000149,ACC000041,9702,Failed,2024-01-10 14:39:00,2024-01-10 22:39:00,BNKREF10000045
SET0000047,MER000069,PAY0000437,ACC000069,32118,Completed,2025-06-02 08:08:00,2025-06-02 14:08:00,BNKREF10000046
SET0000048,MER000048,PAY0000584,ACC000048,80273,Completed,2024-06-10 14:53:00,2024-06-11 11:53:00,BNKREF10000047
SET0000049,MER000068,PAY0000017,ACC000068,17701,Completed,2025-11-14 17:19:00,2025-11-15 01:19:00,BNKREF10000048
SET0000050,MER000034,PAY0000237,ACC000034,79376,Completed,2024-04-19 23:35:00,2024-04-20 19:35:00,BNKREF10000049
SET0000051,MER000027,PAY0001470,ACC000027,66344,Completed,2024-12-17 06:43:00,2024-12-18 00:43:00,BNKREF10000050
SET0000052,MER000063,PAY0000515,ACC000063,5878,Completed,2024-02-22 02:40:00,2024-02-22 21:40:00,BNKREF10000051
SET0000053,MER000001,PAY0000684,ACC000001,72409,Completed,2024-05-13 20:16:00,2024-05-15 02:16:00,BNKREF10000052
SET0000054,MER000055,PAY0001149,ACC000055,19636,Completed,2024-01-10 03:04:00,2024-01-12 01:04:00,BNKREF10000053
SET0000055,MER000070,PAY0000074,ACC000070,16804,Initiated,2025-01-13 18:35:00,,
SET0000056,MER000006,PAY0000632,ACC000006,32806,Completed,2025-01-08 01:57:00,2025-01-09 22:57:00,BNKREF10000055
SET0000057,MER000014,PAY0000725,ACC000014,21399,Completed,2025-07-27 13:39:00,2025-07-28 06:39:00,BNKREF10000056
SET0000058,MER000023,PAY0000845,ACC000023,87906,Completed,2024-01-26 05:47:00,2024-01-27 09:47:00,BNKREF10000057
SET0000059,MER000032,PAY0000547,ACC000032,61794,Completed,2024-06-12 22:06:00,2024-06-13 02:06:00,BNKREF10000058
SET0000060,MER000029,PAY0000409,ACC000029,29319,Completed,2025-04-16 11:19:00,2025-04-17 03:19:00,BNKREF10000059
SET0000061,MER000004,PAY0001352,ACC000004,36685,Completed,2024-07-16 12:21:00,2024-07-16 18:21:00,BNKREF10000060
SET0000062,MER000045,PAY0001314,ACC000045,43504,Failed,2025-06-05 12:43:00,2025-06-07 00:43:00,BNKREF10000061
SET0000063,MER000004,PAY0000237,ACC000004,5114,Failed,2024-09-24 05:37:00,2024-09-24 23:37:00,BNKREF10000062
SET0000064,MER000014,PAY0001222,ACC000014,79557,Completed,2025-03-20 11:46:00,2025-03-21 16:46:00,BNKREF10000063
SET0000065,MER000066,PAY0000237,ACC000066,57254,Completed,2025-01-29 18:12:00,2025-01-31 17:12:00,BNKREF10000064
SET0000066,MER000001,PAY0001065,ACC000001,25925,Completed,2025-07-05 21:46:00,2025-07-07 17:46:00,BNKREF10000065
SET0000067,MER000047,PAY0000884,ACC000047,87051,Completed,2024-03-12 21:58:00,2024-03-13 19:58:00,BNKREF10000066
SET0000068,MER000016,PAY0001475,ACC000016,52843,Completed,2024-11-03 16:19:00,2024-11-04 14:19:00,BNKREF10000067
SET0000069,MER000038,PAY0001136,ACC000038,88877,Completed,2024-05-10 06:26:00,2024-05-11 08:26:00,BNKREF10000068
SET0000070,MER000023,PAY0001261,ACC000023,39929,Completed,2025-08-05 09:25:00,2025-08-05 11:25:00,BNKREF10000069
SET0000071,MER000037,PAY0000431,ACC000037,58005,Completed,2025-03-16 18:38:00,2025-03-18 01:38:00,BNKREF10000070
SET0000072,MER000057,PAY0001384,ACC000057,86456,Completed,2024-08-06 16:30:00,2024-08-07 04:30:00,BNKREF10000071
SET0000073,MER000011,PAY0000582,ACC000011,98553,Completed,2025-06-11 21:40:00,2025-06-12 04:40:00,BNKREF10000072
SET0000074,MER000031,PAY0001378,ACC000031,6157,Completed,2024-11-13 07:51:00,2024-11-13 10:51:00,BNKREF10000073
SET0000075,MER000032,PAY0000974,ACC000032,75554,Completed,2025-09-17 02:29:00,2025-09-18 20:29:00,BNKREF10000074
SET0000076,MER000025,PAY0001472,ACC000025,90228,Completed,2025-01-28 15:25:00,2025-01-30 10:25:00,BNKREF10000075
